,Association_Rules,Support(%),Confidence(%)
0,A --> C,50.0,71.42857142857143
1,C --> A,50.0,100.0
2,A --> E,40.0,57.14285714285715
3,E --> A,40.0,57.14285714285715
4,F --> G,30.0,100.0
5,G --> F,30.0,85.71428571428572
6,E --> G,30.0,42.85714285714286
7,G --> E,30.0,85.71428571428572
8,E --> F,30.0,42.85714285714286
9,F --> E,30.0,100.0
10,E --> F & G,30.0,42.85714285714286
11,E & F --> G,30.0,100.0
12,F --> E & G,30.0,100.0
13,E & G --> F,30.0,100.0
14,F & G --> E,30.0,100.0
15,G --> E & F,30.0,85.71428571428572
